Ni,Ti,Hf,Co,Cu,Zr,Fe,a
49.8,40.7,9.5,0.0,0.0,0.0,0.0,3.0631
49.8,40.7,9.5,0.0,0.0,0.0,0.0,3.0631
49.8,40.7,9.5,0.0,0.0,0.0,0.0,3.0631
49.8,40.7,9.5,0.0,0.0,0.0,0.0,3.0631
49.8,35.2,15.0,0.0,0.0,0.0,0.0,3.0802
49.8,35.2,15.0,0.0,0.0,0.0,0.0,3.0802
49.8,35.2,15.0,0.0,0.0,0.0,0.0,3.0802
49.8,30.2,20.0,0.0,0.0,0.0,0.0,3.093
49.8,30.2,20.0,0.0,0.0,0.0,0.0,3.093
49.8,30.2,20.0,0.0,0.0,0.0,0.0,3.093
50.0,30.0,0.0,0.0,0.0,20.0,0.0,3.1061
50.0,30.0,20.0,0.0,0.0,0.0,0.0,3.0926
50.0,40.5,9.5,0.0,0.0,0.0,0.0,3.0628
50.0,35.0,15.0,0.0,0.0,0.0,0.0,3.0799
50.0,30.0,20.0,0.0,0.0,0.0,0.0,3.0926
45.0,50.0,0.0,0.0,5.0,0.0,0.0,3.0224
42.5,50.0,0.0,0.0,7.5,0.0,0.0,3.0261
40.0,50.0,0.0,0.0,10.0,0.0,0.0,3.0298
50.0,45.0,0.0,0.0,0.0,5.0,0.0,3.0442
50.0,40.0,0.0,0.0,0.0,10.0,0.0,3.0659
50.3,44.7,5.0,0.0,0.0,0.0,0.0,3.0443
50.3,39.7,10.0,0.0,0.0,0.0,0.0,3.064
50.3,34.7,15.0,0.0,0.0,0.0,0.0,3.0794
50.3,31.7,18.0,0.0,0.0,0.0,0.0,3.0873
50.3,29.7,20.0,0.0,0.0,0.0,0.0,3.0921
50.3,24.7,25.0,0.0,0.0,0.0,0.0,3.1029
43.655,50.0,0.0,0.0,6.345,0.0,0.0,3.0244
40.8075,50.0,0.0,0.0,9.1925,0.0,0.0,3.0286
31.6027,50.0,0.0,0.0,18.3973,0.0,0.0,3.0415
23.3185,50.0,0.0,0.0,26.6815,0.0,0.0,3.0526
48.154,50.0,0.0,0.0,1.846,0.0,0.0,3.0177
47.1838,50.0,0.0,0.0,2.8162,0.0,0.0,3.0192
45.126,50.0,0.0,0.0,4.874,0.0,0.0,3.0222
40.1131,50.0,0.0,0.0,9.8869,0.0,0.0,3.0296
34.9632,50.0,0.0,0.0,15.0368,0.0,0.0,3.0369
29.8625,50.0,0.0,0.0,20.1375,0.0,0.0,3.0439
24.8472,50.0,0.0,0.0,25.1528,0.0,0.0,3.0506
42.0,50.0,0.0,0.0,6.0,0.0,2.0,3.0237
42.0,50.0,0.0,0.0,6.0,0.0,2.0,3.0237
42.0,50.0,0.0,0.0,6.0,0.0,2.0,3.0237
42.0,50.0,0.0,0.0,6.0,0.0,2.0,3.0237
42.0,50.0,0.0,0.0,6.0,0.0,2.0,3.0237
42.0,50.0,0.0,0.0,6.0,0.0,2.0,3.0237
42.0,50.0,0.0,0.0,6.0,0.0,2.0,3.0237
42.0,50.0,0.0,0.0,6.0,0.0,2.0,3.0237
