Ni,Ti,Hf,Co,Cu,Zr,Fe,en_p,ea,valence,pettifor,rad_ionic,rad_slater,rad_clementi,?H,?S,size_diff,rad_Waber,atom_number,atom_mass,T,a,b,c,beta,ref,ac,α,β,γ,λ1,λ2,λ3,ΔV/V,εRMS,Ms
50.3,29.7,20,0,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,0.474508,35.018,79.1348,25,3.0441,4.0824,4.8583,103.3,O. Benafan2021 ,3.0925,0.984349232,0.933449547,1.110860752,0.933449547,0.903961182,1.035266558,-0.006672747,0.122,
50.3,29.7,20,0,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,0.474508,35.018,79.1348,25,3.0539,4.0831,4.8788,103.3,O. Benafan2021 ,3.0938,0.987103239,0.933217305,1.115079373,0.933217305,0.906730767,1.035008985,-0.000359566,0.12,
50.3,29.7,20,0,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,0.474508,35.018,79.1348,25,3.0592,4.076,4.8886,103.5,O. Benafan2021 ,3.0962,0.988049868,0.930872437,1.116453139,0.930872437,0.905839856,1.033832378,-0.001516137,0.122,
50.3,29.7,20,0,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,0.474508,35.018,79.1348,25,3.0565,4.0836,4.8866,103.4,O. Benafan2021 ,3.0958,0.987305381,0.932728617,1.116140577,0.932728617,0.906184878,1.035180821,-0.000141609,0.121,
50.3,29.7,20,0,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,0.474508,35.018,79.1348,25,3.0478,4.0825,4.8714,103.2,O. Benafan2021 ,3.0937,0.985163397,0.933110332,1.113424047,0.933110332,0.905971549,1.034175434,-0.003509835,0.12,
50.3,29.7,20,0,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,0.474508,35.018,79.1348,25,3.0528,4.0782,4.8772,103.2,O. Benafan2021 ,3.0941,0.986652015,0.932007005,1.114605602,0.932007005,0.907233023,1.032952606,-0.002126339,0.12,
50.3,29.7,20,0,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,0.474508,35.018,79.1348,25,3.0466,4.0821,4.8712,103.3,O. Benafan2021 ,3.0937,0.984775512,0.933018907,1.113378334,0.933018907,0.904792432,1.034788946,-0.004449894,0.121,
50.3,29.7,20,0,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,0.474508,35.018,79.1348,25,3.0529,4.1029,4.8666,103.27,O. Benafan2021 ,3.0934,0.98690761,0.937863972,1.112434816,0.937863972,0.906297935,1.03994701,0.002160513,0.119,
50.3,29.7,20,0,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,0.474508,35.018,79.1348,25,3.0508,4.1148,4.8666,103.19,O. Benafan2021 ,3.0937,0.986133109,0.940492932,1.112326942,0.940492932,0.906481271,1.042285542,0.004413309,0.119,
50.3,29.7,20,0,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,0.474508,35.018,79.1348,25,3.0491,4.1172,4.8595,103.15,O. Benafan2021 ,3.0921,0.986093593,0.941528424,1.111278873,0.941528424,0.906590318,1.043144311,0.004695605,0.118,
