Ni,Ti,Hf,Co,Cu,Zr,en_p,ea,valence,pettifor,rad_ionic,rad_slater,rad_clementi,?H,?S,size_diff,T,a,ref,,predict ao,,,lattice parameter,??o,??enp,??ea,??valence,??ionr,??H,??T
50.7,49.3,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,58,3.01595,Khalil2004,,4.062063431,,,,,,,,,,
50.7,49.3,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,74,3.01658,Khalil2004,,4.064021884,,,,,,,,,,
50.7,49.3,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,-38,3.0069,Khalil2004,,4.050312712,,,,,,,,,,
50.7,49.3,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,-8,3.0093,Khalil2004,,4.053984812,,,,,,,,,,
50.1,49.9,0,0,0,0,1.73038,0.618577,7.006,0.9403,0.71495,1.37495,1.62473,-34.99986,5.762809031,0.018182443,65,3.0166,Khalil2004,,4.05227927,,,,,,,,,,
50.1,49.9,0,0,0,0,1.73038,0.618577,7.006,0.9403,0.71495,1.37495,1.62473,-34.99986,5.762809031,0.018182443,75,3.0173,Khalil2004,,4.053503303,,,,,,,,,,
50.1,49.9,0,0,0,0,1.73038,0.618577,7.006,0.9403,0.71495,1.37495,1.62473,-34.99986,5.762809031,0.018182443,85,3.0176,Khalil2004,,4.054727336,,,,,,,,,,
37,53.5,0,0,9.5,0,1.7148,0.586645,6.885,0.93995,0.72055,1.37675,1.63065,-28.9803,7.699829461,0.018114164,100,3.032,Miyazaki1996,,4.023985148,,,,,,,,,,
49.5,34.9,15.6,0,0,0,1.69378,0.599791,6.97,0.93616,0.72929,1.39865,1.67627,-37.15866,8.358077074,0.049253836,473,3.08,Sanjabi2005,,4.124670051,,,,,,,,,,
48.5,36.5,15,0,0,0,1.6913,0.589495,6.91,0.93325,0.72925,1.39825,1.67705,-37.0055,8.342144875,0.048423726,25,3.09,X. D. HAN1995,,4.05078306,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0947,O. Benafan2021 ,,4.127046392,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0944,O. Benafan2021 ,,4.127046392,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0941,O. Benafan2021 ,,4.127046392,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0841,O. Benafan2021 ,,4.127046392,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0809,O. Benafan2021 ,,4.127046392,,,,,,,,,,
