Ni,Ti,Hf,Co,Cu,Zr,Fe,en_p,ea,valence,pettifor,rad_ionic,rad_slater,rad_clementi,?H,?S,size_diff,rad_Waber,atom_number,atom_mass,T,a,b,c,beta,ref,ac,α,β,γ,λ1,λ2,λ3,ΔV/V,εRMS,Ms
50.5,49.5,0,0,0,0,0,1.7319,0.622885,7.03,0.9415,0.71475,1.37475,1.62365,-34.9965,5.762409952,0.018184215,0.40618,25.03,52.858,-71,2.8815,4.1232,4.6256,97,Lukas2002,,,,,,,,,,
50,50,0,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,0.018181818,0.407,25,52.8,20,2.909,4.1135,4.657,97.9,Prokoshkin2004,,,,,,,,,,
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,0.405852,25.042,52.8812,20,2.882,4.143,4.614,96.35,Prokoshkin2004,,,,,,,,,,
50,50,0,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,0.018181818,0.407,25,52.8,50,2.91,4.123,4.654,97.8,Prokoshkin2004,,,,,,,,,,
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,0.405852,25.042,52.8812,-12,2.882,4.128,4.623,96.7,Prokoshkin2004,,,,,,,,,,
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,0.405852,25.042,52.8812,-28,2.8934,4.127,4.6354,97.18,Khalil2004,,,,,,,,,,
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,0.405852,25.042,52.8812,21,2.893,4.134,4.633,96.96,Khalil2004,,,,,,,,,,
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,0.405852,25.042,52.8812,25,2.8964,4.1351,4.6234,96.76,Khalil2004,,,,,,,,,,
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,0.405852,25.042,52.8812,-38,2.8786,4.134,4.6215,96.65,Khalil2004,,,,,,,,,,
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,0.405852,25.042,52.8812,-8,2.8792,4.1394,4.614,96.47,Khalil2004,,,,,,,,,,
51,49,0,0,0,0,0,1.7338,0.62827,7.06,0.943,0.7145,1.3745,1.6223,-34.986,5.761162748,0.018184794,0.40536,25.06,52.916,-150,2.89,4.14,4.65,97.1,Khachin1992,,,,,,,,,,
37,53.5,0,0,9.5,0,0,1.7148,0.586645,6.885,0.93995,0.72055,1.37675,1.63065,-28.9803,7.699829461,0.018114164,0.411505,24.885,52.8595,-87,3.031,4.254,4.823,96.96,Miyazaki1996,3.032,0.999670185,0.992095068,1.124794197,0.992095068,0.970519786,1.050485983,0.107314348,0.059 ,
49,50,0,1,0,0,0,1.7296,0.61255,6.99,0.9395,0.7171,1.375,1.6253,-34.86,6.170374253,0.018181818,0.40719,24.99,52.803,25,2.882,4.115,4.644,97.3,Vladimir2019,3.014,0.95620438,0.965409557,1.089516885,0.965409557,0.927707341,1.024910636,-0.002387816,0.084 ,
46,50,0,4,0,0,0,1.7284,0.5977,6.96,0.938,0.7234,1.375,1.6262,-34.44,6.921669938,0.018181818,0.40776,24.96,52.812,25,2.874,4.108,4.63,97.2,Vladimir2019,3.013,0.953866578,0.964087175,1.086592896,0.964087175,0.926081243,1.022720303,-0.00863705,0.085 ,
45,50,0,5,0,0,0,1.728,0.59275,6.95,0.9375,0.7255,1.375,1.6265,-34.3,7.11419558,0.018181818,0.40795,24.95,52.815,25,2.871,4.104,4.697,97.1,Vladimir2019,3.012,0.953187251,0.963468204,1.102682786,0.963468204,0.927906503,1.021276967,0.004900762,0.084 ,
45,50,0,0,5,0,0,1.729,0.6211,7.05,0.9455,0.717,1.375,1.623,-32.04,7.11419558,0.018181818,0.40635,25.05,53.045,-190,2.903,4.147,4.613,96.2,Vladimir2019,3.027,0.959035349,0.968738626,1.077596162,0.968738626,0.935981942,1.019709277,-0.004710081,0.074 ,
42.5,50,0,0,7.5,0,0,1.7285,0.6229,7.075,0.94825,0.718,1.375,1.622,-30.59,7.520027337,0.018181818,0.406025,25.075,53.1675,-190,2.907,4.17,4.596,95.5,Vladimir2019,3.03,0.959405941,0.973146956,1.072561969,0.973146956,0.940186612,1.018716037,-0.003220257,0.068 ,
40,50,0,0,10,0,0,1.728,0.6247,7.1,0.951,0.719,1.375,1.621,-29.16,7.842998534,0.018181818,0.4057,25.1,53.29,-190,2.872,4.192,4.577,95.2,Vladimir2019,3.031,0.947542065,0.977958306,1.067775565,0.977958306,0.931153156,1.021314678,-0.014610918,0.075 ,
47,53,0,0,0,0,0,1.7186,0.58519,6.82,0.931,0.7165,1.3765,1.6331,-34.874,5.747851467,0.018129284,0.41192,24.82,52.452,-196,2.896,4.0992,4.6767,98.55,S.D. Prokoshkin2008,,,,,,,,,,
50,50,0,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,0.018181818,0.407,25,52.8,-196,2.896,4.0992,4.6695,98.13,S.D. Prokoshkin2008,,,,,,,,,,
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,0.405852,25.042,52.8812,-196,2.876,4.1175,4.643,97.31,S.D. Prokoshkin2008,,,,,,,,,,
51.7,48.3,0,0,0,0,0,1.73646,0.635809,7.102,0.9451,0.71415,1.37415,1.62041,-34.95954,5.758019241,0.018182546,0.404212,25.102,52.9972,-196,2.8714,4.1214,4.6377,97.12,S.D. Prokoshkin2008,,,,,,,,,,
47,53,0,0,0,0,0,1.7186,0.58519,6.82,0.931,0.7165,1.3765,1.6331,-34.874,5.747851467,0.018129284,0.41192,24.82,52.452,66,2.9041,4.1212,4.6455,97.87,S.D. Prokoshkin2008,3.0182,0.962196011,0.965518676,1.088352181,0.965518676,0.928470678,1.029500965,0.001575759,0.085 ,
50,50,0,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,0.018181818,0.407,25,52.8,68,2.9011,4.1277,4.6496,97.34,S.D. Prokoshkin2008,3.0182,0.961202041,0.967041502,1.089312733,0.967041502,0.931549131,1.026958487,0.004243169,0.081 ,
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,0.405852,25.042,52.8812,-20,2.8806,4.1308,4.6251,96.85,S.D. Prokoshkin2008,3.0104,0.956882806,0.970275276,1.086380406,0.970275276,0.930917461,1.026508344,0.001438868,0.080 ,
51.7,48.3,0,0,0,0,0,1.73646,0.635809,7.102,0.9451,0.71415,1.37415,1.62041,-34.95954,5.758019241,0.018182546,0.404212,25.102,52.9972,-60,2.8741,4.1302,4.6233,96.75,S.D. Prokoshkin2008,3.0058,0.95618471,0.971619012,1.087619529,0.971619012,0.931125509,1.027133838,0.003445948,0.079 ,
48,49,3,0,0,0,0,1.7158,0.59359,6.88,0.93355,0.7187,1.3805,1.64,-35.3472,6.709758711,0.028005793,0.42048,26.38,56.513,25,2.923,4.097,4.836,100.04,Yunxiang Tong2009,,,,,,,,,,
46,49,5,0,0,0,0,1.7038,0.57047,6.76,0.92725,0.7215,1.3845,1.6518,-35.42,7.121201244,0.032580862,0.43056,27.26,58.911,25,2.918,4.099,4.852,100.4,Yunxiang Tong2009,,,,,,,,,,
44,49,7,0,0,0,0,1.6918,0.54735,6.64,0.92095,0.7243,1.3885,1.6636,-35.3584,7.457001947,0.036316664,0.44064,28.14,61.309,25,2.937,4.108,4.845,99.89,Yunxiang Tong2009,,,,,,,,,,
41,49,10,0,0,0,0,1.6738,0.51267,6.46,0.9115,0.7285,1.3945,1.6813,-35.014,7.859682994,0.040848123,0.45576,29.46,64.906,25,2.951,4.116,4.85,99.66,Yunxiang Tong2009,,,,,,,,,,
36,49,15,0,0,0,0,1.6438,0.45487,6.16,0.89575,0.7355,1.4045,1.7108,-33.768,8.329828957,0.046442467,0.48096,31.66,70.901,25,2.976,4.117,4.865,99.32,Yunxiang Tong2009,,,,,,,,,,
45,50,5,0,0,0,0,1.7,0.5597,6.7,0.92425,0.722,1.385,1.6545,-35.28,7.11419558,0.032490975,0.4322,27.2,58.795,25,2.8235,4.0696,4.663,101.0696,Mehrdad2008,,,,,,,,,,
40,50,10,0,0,0,0,1.67,0.5019,6.4,0.9085,0.729,1.395,1.684,-34.72,7.842998534,0.04070902,0.4574,29.4,64.79,25,2.9011,4.1063,4.7197,101.1063,Mehrdad2008,,,,,,,,,,
35,50,15,0,0,0,0,1.64,0.4441,6.1,0.89275,0.736,1.405,1.7135,-33.32,8.302188563,0.046263345,0.4826,31.6,70.785,25,2.996,4.1159,4.7688,101.1159,Mehrdad2008,,,,,,,,,,
30,50,20,0,0,0,0,1.61,0.3863,5.8,0.877,0.743,1.415,1.743,-31.08,8.560535159,0.050096985,0.5078,33.8,76.78,25,3.0789,4.1247,4.8724,101.1247,Mehrdad2008,,,,,,,,,,
