Ni,Ti,Hf,Co,Cu,Zr,en_p,ea,valence,pettifor,rad_ionic,rad_slater,rad_clementi,?H,?S,T,a,b,c,beta
50.7,49.3,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,25,2.8964,4.1351,4.6234,96.76
50.7,49.3,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,-38,2.8786,4.134,4.6215,96.65
50.7,49.3,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,-8,2.8792,4.1394,4.614,96.47
51,49,0,0,0,0,1.7338,0.62827,7.06,0.943,0.7145,1.3745,1.6223,-34.986,5.761162748,-150,2.89,4.14,4.65,97.1
37,53.5,0,0,9.5,0,1.7148,0.586645,6.885,0.93995,0.72055,1.37675,1.63065,-28.9803,7.699829461,-87,3.031,4.254,4.823,96.96
49.5,34.9,15.6,0,0,0,1.69378,0.599791,6.97,0.93616,0.72929,1.39865,1.67627,-37.15866,8.358077074,25,3.01,4.07,4.79,101.86
49.8,42.2,8,0,0,0,1.71164,0.609026,6.988,0.9382,0.7223,1.3871,1.65114,-36.11496,7.593359668,25,2.97,4.1,4.75,100.2
48.5,36.5,15,0,0,0,1.6913,0.589495,6.91,0.93325,0.72925,1.39825,1.67705,-37.0055,8.342144875,25,2.93,4.11,4.73,100.4
49.5,45.5,0,0,0,5,1.7176,0.629465,6.97,0.937,0.72025,1.38275,1.64135,-40.8415,7.118136776,25,2.916,4.113,4.718,97.2
49.5,40.5,0,0,0,10,1.7071,0.646815,6.97,0.9355,0.72525,1.39025,1.65635,-45.7065,7.851807328,25,2.952,4.094,4.746,97.43
49.5,35.5,0,0,0,15,1.6966,0.664165,6.97,0.934,0.73025,1.39775,1.67135,-49.5915,8.316511469,25,2.976,4.092,4.79,97.53
49.5,30.5,0,0,0,20,1.6861,0.681515,6.97,0.9325,0.73525,1.40525,1.68635,-52.4965,8.581217126,25,2.992,4.08,4.858,98.5
49.5,45.5,0,0,0,5,1.7176,0.629465,6.97,0.937,0.72025,1.38275,1.64135,-40.8415,7.118136776,25,2.921,4.109,4.707,97.35
49.5,40.5,0,0,0,10,1.7071,0.646815,6.97,0.9355,0.72525,1.39025,1.65635,-45.7065,7.851807328,25,2.932,4.081,4.736,97.49
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0502,4.0908,4.8694,103.02
