Ni,Ti,Hf,Co,Cu,Zr,Fe,en_p,ea,valence,pettifor,rad_ionic,rad_slater,rad_clementi,?H,?S,size_diff,T,a,ref,,predict ao,,,lattice parameter,𝛃o,𝛃enp,𝛃ea,𝛃valence,𝛃ionr,𝛃H,𝛃T
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,-40.6055,3.0205439,Hui Zhang2022,,,,,,,,,,,,
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,-38.9689,3.02058514,Hui Zhang2022,,,,,,,,,,,,
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,-35.4851,3.02078161,Hui Zhang2022,,,,,,,,,,,,
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,-32.0006,3.02096895,Hui Zhang2022,,,,,,,,,,,,
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,-28.5146,3.02113351,Hui Zhang2022,,,,,,,,,,,,
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,-25.131,3.02119777,Hui Zhang2022,,,,,,,,,,,,
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,-21.6328,3.02118455,Hui Zhang2022,,,,,,,,,,,,
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,-18.1437,3.02130352,Hui Zhang2022,,,,,,,,,,,,
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,-14.7666,3.0214635,Hui Zhang2022,,,,,,,,,,,,
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,-11.28,3.0216189,Hui Zhang2022,,,,,,,,,,,,
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,-7.7905,3.0217334,Hui Zhang2022,,,,,,,,,,,,
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,-4.2995,3.021825,Hui Zhang2022,,,,,,,,,,,,
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,-0.9156,3.0218847,Hui Zhang2022,,,,,,,,,,,,
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,2.4518,3.022186,Hui Zhang2022,,,,,,,,,,,,
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,6.0521,3.0222776,Hui Zhang2022,,,,,,,,,,,,
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,9.5534,3.0222188,Hui Zhang2022,,,,,,,,,,,,
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,12.8146,3.0224745,Hui Zhang2022,,,,,,,,,,,,
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,16.2013,3.0224932,Hui Zhang2022,,,,,,,,,,,,
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,19.5824,3.0225939,Hui Zhang2022,,,,,,,,,,,,
